category,title,company,description
information-technology, Systems Administrator,Delphon,"About the job


We are seeking a skilled Systems Administrator to join our team. The ideal candidate will be responsible for managing and maintaining our IT infrastructure, ensuring optimal performance and security of our systems. This role requires a proactive approach to problem-solving and a commitment to providing excellent support to our users.
Administer and manage the integration between on-premises infrastructure (Active Directory, Exchange Server) and Microsoft 365 cloud services (Exchange Online, SharePoint Online, Teams).
Manage and support Microsoft Teams, SharePoint, OneDrive, and other collaboration tools.
Oversee user account management, provisioning, and de-provisioning across both on-premises Active Directory and Azure Active Directory.
Manage Group Policy and security policies across hybrid environments.
Administer and manage the Microsoft Intune environment, including configuration of device profiles, compliance policies, and app deployment.
Install, configure, and maintain servers, networks, and related hardware and software. Monitor system performance and troubleshoot issues to ensure seamless operations.
Implement and oversee security measures, including firewalls, antivirus software, and data backup systems.
Conduct regular system updates and patch management.
Collaborate with other IT team to plan and execute technology projects.
Document system configurations, processes, and procedures.
Provide technical support and training to end-users.
Manage and optimize IT service management (ITSM) processes to enhance service delivery and streamline incident resolution.
Evaluate and recommend new technologies to enhance system efficiency and security.
Ensure compliance with industry standards and organizational policies.
Develop disaster recovery plans and conduct routine tests to ensure business continuity in case of system failures or cyber incidents.
Excellent problem-solving and analytical skills.
Strong communication and interpersonal skills.
Ability to work independently and as part of a team.
Stay updated on industry trends and emerging technologies to recommend improvements.
Apply ITIL practices to improve workflow efficiency, reduce downtime, and ensure alignment with business objectives.


Available for on-call and occasional after-hours system maintenance and upgrades.
This is an onsite position, with the need to travel to Portland OR facility from time-to-time (up to 10% per year). 
This is a direct hire. We will not be accepting applications/resumes/inquiries from staffing firms.





Desired Skills and Experience


Bachelor's degree in computer science, Information Technology, or a related field (or equivalent experience) is required. Preferred qualifications include industry certifications such as Microsoft Certified: Azure Administrator, CompTIA Network+, and Cisco CCNA.
5+ years of experience as a systems administrator (level 1-2), including experience with Microsoft 365 administration (Exchange, SharePoint, OneDrive, Teams) and proficiency with Microsoft Intune and Mobile Device Management (MDM) configurations.
Experience with Epicor ERP and Bartender is beneficial.
Knowledge of Azure Active Directory (AAD), Azure AD Connect, and Conditional Access policies, including experience with different operating systems such as Windows and Linux.
Experience with virtualization and cloud platforms (e.g., Azure, AWS, VMware), including migration projects and hybrid cloud setups.
Familiarity with networking protocols, DNS, DHCP, VPN, and advanced network security configurations.
Proficiency in scripting languages (e.g., PowerShell, Bash) for automation and system management tasks.
Excellent problem-solving and communication skills, with the ability to explain technical concepts to non-technical stakeholders.
Ability to work independently and as part of a team, effectively managing multiple priorities.
Experience with enterprise-level security and compliance frameworks, preferred.
Knowledge of ITIL practices and experience with IT service management (ITSM) tools, preferred.
Maintain 1) reliable and safe transportation to other Delphon facilities or for business travel, 2) valid State-issued driver's license, 3) proper vehicle registration, and 4) State-required minimum automobile insurance coverage requirement.
"
information-technology,Head of Digital Technology,Transcendental,"About the job
Transcendental is looking for a highly motivated Head of Digital Technology. The ideal candidate for this role is also someone with a comprehensive knowledge of front end website design and development, an in-depth knowledge of digital marketing technologies and analytics and experience in IT security and network/server management. If you are a person passionate about teamwork, innovation, client service and top-line work and are looking to be an integral player in a fast-growing agency, come join Transcendental!


Position Overview: The Head of Digital Technology will lead and oversee the digital channels, platforms and IT infrastructure within Transcendental’s organization, ensuring the effective use of technology to drive innovation, streamline processes, and improve overall business performance and client results. The role involves strategic planning, implementation, and management of digital solutions across various departments, while staying at the forefront of emerging technologies and trends.
Key Responsibilities:

Strategic Leadership:
Lead the development and execution of the digital technology strategy, aligning with the company’s overall goals and objectives
Collaborate with senior leadership to identify opportunities for digital innovation, operational improvement and product development
Lead the web development, SEO, digital ads and analytics teams by overseeing KPIs, management, platforms, products and results.
Work alongside cross-functional teammates in design, account management, leadership, content development and SEO to produce innovative work that exceeds client expectations
Manage web development team by being responsible for web strategy, queue and resource allocation and bandwidth
2.Technology Implementation & Management:

Oversee the implementation of digital technologies, ensuring they are scalable, secure, and meet business requirements
Manage the technology infrastructure and software applications, ensuring they are optimized for business needs, meet HIPPA regulations and are secure
Guide the development of custom software solutions and integrate third-party applications where appropriate
Manage in-office hardware and software for all users
Oversee and manage all HIPAA compliance for the organization and BAAs and BACs
Oversee and manage complex back-end tasks such as website migrations, search optimization, coding to WCAG/ADA compliance, and programming
3.Data Management & Analytics:

Lead the adoption of data-driven decision-making across the organization
Manage the development and implementation of data analytics tools and platforms
Ensure the security and integrity of the organization’s digital data, implementing robust data protection measures


Qualifications:

Bachelor’s degree in Computer Science, Information Technology, Engineering, or a related field 
8+ years of experience in digital technology, with at least two years in a leadership role
Proven experience in leading digital transformation initiatives and managing large-scale technology projects
Strong understanding of software development, cloud computing, data analytics, cybersecurity, and emerging technologies with expertise in WordPress, Elementor, Google, etc.
Excellent leadership, communication, and problem-solving skills
Ability to drive change and manage complex technology environments
Strong business acumen with the ability to align technology solutions with organizational goals


Key Skills:

Digital strategy development and execution
Project management and Agile methodologies
Team leadership and staff development
Data-driven decision-making
Strong knowledge of PHP/HTML/JAVASCRIPT/CSS (LAMP Stack)
Advanced understanding of the WordPress core software and its functions at the code level
Understanding of WordPress coding and security best practices
Understanding of web performance best practices (e.g. analyze and optimize critical rendering path)


About Transcendental

Transcendental is a strategic marketing agency that fosters growth for dental practices across the country, utilizing data-driven insights and a unique, proven dental marketing methodology. Our exclusive methods are formulated with insights gathered from working with practices nationwide and are designed to transcend dental norms. We are a fast-paced and rapidly growing startup, currently serving 70 clients in 18 states. As a full-service, boutique marketing agency we offer an array of services including branding, web design, social advertising, social media management, digital advertising, search engine optimization, photo and video media production and direct mail/print advertising.


Why Work for Transcendental?
Work environment with talented, smart, and fun colleagues
Medical, vision and dental benefits
17 paid holidays each year
Unlimited PTO (paid time off)
Company-sponsored events and parties


We're an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status."
information-technology,Information Technology Technian, Bishop-Wisecarver,"About the job
About BW

For over 70 years, Bishop-Wisecarver has been a WBENC certified, woman-owned company. From major manufacturers to innovative start-ups, we've been the go-to source for cutting-edge solutions in linear and rotary motion.


At Bishop-Wisecarver (BW), we're not just selling products – we're helping our customers with expert guidance on customized solution development and product selection that ensures the right design for your problem, providing documentation, design assumptions, and solution requirements. 



Join our vibrant BW family, where every voice matters and each member makes a meaningful impact! At BW, we pride ourselves on our inclusive culture, where transparency is critical and your input shapes our business direction. If you desire a career where your name is known and your opinions are valued, then look no further – BW is the place for you!
To learn more about BW, please visit us at: https://www.bwc.com/



Now, let's talk about the role itself. BW is looking for a hands-on IT Technician to lead the daily operations of our Technology department. The ideal candidate will be responsible for ensuring the smooth functioning of computer systems, network servers, and virtual infrastructure while implementing best practices for cybersecurity and IT support. 



This is an on-site role based at our Pittsburg, CA facility. 



Step into the dynamic role we're offering with a variety of exciting responsibilities:



Desktop & Mobile Device Administration 

Manage workstation inventory (AssetPanda) and oversee deployments (WDS, Microsoft Deployment Toolkit). 
Troubleshoot desktop and laptop issues. 
Administer and manage endpoint antivirus installations (ESET). 
Oversee mobile device (iPhone, Android) and BYOD device management using Meraki MDM and Verizon business accounts. 
Maintain and support desk phones (RingCentral). 


Help Desk Support 

Manage and maintain the Zendesk ticketing system. 
Provide software, hardware, and network connectivity support for end-users. 
Troubleshoot and support conference room AV equipment. 
Maintain and support multi-functional printers. 
Utilize Splashtop Business for remote troubleshooting. 


End-User Support & Employee Lifecycle Management 

Oversee onboarding and offboarding of employees (Microsoft 365 account and device provisioning). 
Conduct IT orientations for new hires. 


Systems & Security Management 

Administer Microsoft 365 (Office Apps, Outlook, OneDrive, SharePoint, Teams, Microsoft Defender). 
Manage Active Directory, MSFT Entra, and Group Policy. 
Ensure proper cybersecurity measures, including data protection and failover procedures. 
Implement and document IT standard operating procedures. 


Vendor & Systems Management 

Manage vendor relationships, including IT service providers, hardware/software vendors, and telecommunications providers. 
Administer and support SwipedOn (visitor management), Bay Alarm (entry/badge system), Yodeck (digital signage), KnowBe4 (security awareness training), and Rhombus (security camera systems). 


Check out our Wishlist for the ideal candidate:

Strong troubleshooting experience with PCs, desktops, laptops, and peripherals. 
Proficiency in Microsoft 365 administration, including Exchange, SharePoint, Teams, and OneDrive. 
Active Directory & Group Policy management experience. 
Desktop deployments, imaging, and configuration expertise. 
Experience using AI resources to improve IT efficiency and automate processes. 
Vendor management experience, including evaluating, negotiating, and maintaining vendor contracts. 
Basic networking knowledge (firewall management, routing, NAT). 
Experience with remote support software. 
Familiarity with DNS, RDP, encryption, and IT security best practices. 
Excellent verbal and written communication skills. 
Ability to document IT processes and maintain system records. 
Willingness to work flexible hours and occasional overtime during outages or critical projects. 
This role requires full-time on-site presence at our Pittsburg, CA facility. 
 


What BW brings to the table:

Competitive base salary with incentive bonus plan
Enjoy a great benefit package, complete with a generous contribution from BW.
Uncapped flexible time-off policy – take the time you need when you need it.
Support your financial future with our 401(k) safe-harbor match and profit-sharing opportunities.
Immerse yourself in our values-driven, down-to-earth culture that celebrates teamwork and goes the extra mile to deliver exceptional service to our customers.
Ready to dive into a workplace that's more than just a job? Come join us at BW, where every day is an adventure! 





At BW, we're proud to be an equal opportunity employer. We celebrate diversity and welcome everyone, regardless of race, creed, color, religious belief, sex, age, sexual orientation, national origin, ancestry, marital status, physical or mental handicap, veteran status, or any other protected basis under Federal, State, or local law or ordinance. Join us in creating an inclusive and supportive workplace where everyone can thrive.


Notes:

There is no paid relocation for this position
Applicants must be able to work in the US without sponsorship"
information-technology,Information Technology Support Technian,Grassland Dairy Products,"About the job
Grassland Dairy Products, Inc. is seeking an enthusiastic and skilled IT Support Technician to join our dynamic team. As an IT Support Technician, you will play a crucial role in providing technical assistance to employees, ensuring the smooth operation of computer systems, applications, and networks. Your expertise will help minimize disruptions and maximize productivity, allowing our team members to focus on their work without technology-related interruptions.


In this role, you will provide both remote and onsite technical support for a wide range of hardware, software, and network-related issues. You’ll manage user inquiries through our ticketing system, ensuring timely and professional responses. Additionally, you will be responsible for installing, configuring, and maintaining computer systems, software applications, and peripheral devices. You will also assist in onboarding new employees by setting up accounts, email access, and ensuring they have all the necessary tools and software. Your contributions will extend to documenting support requests, troubleshooting steps, and resolutions, ensuring continuous improvement in our processes and technology infrastructure.


Requirements:
Strong problem-solving skills with the ability to troubleshoot complex technical issues.
Technical expertise in hardware, software, and network support.
Excellent communication skills, both written and verbal, to effectively assist and guide users.
Ability to manage multiple support tickets simultaneously while maintaining high service standards.
Experience in system installations, configurations, and maintenance is a plus.
Detail-oriented and organized, with a commitment to ensuring accurate documentation.


Education/Experience:
Associate's degree in Computer Science or a related field.
A minimum of 4 years of experience in IT support or a similar role.


If you are passionate about technology and enjoy helping others solve technical challenges, we would love to hear from you. Join us in making a positive impact on our organization's productivity and technology infrastructure!

Job search faster with Premium"
information-technology,Information Technology Intern,Newmark,"About the job
Job Description

Our customized 10-week program is designed to provide students with the opportunity to learn about diverse areas of Information Technology, while gaining hands-on experience in the CRE industry. Combining their education with practical experience, interns will work closely with different businesses to understand and support various aspects of the field, including projects with the potential for significant business impact.

You will work closely with one of the following teams Web Development, Data Engineering, Infrastructure, Architecture, Data Analytics, or Product Development. Please reference your area of interest in your application.

Responsibilities

Collaborate with team members to support the development and implementation of technology projects.
Assist in conducting research and analysis to identify emerging trends and technologies in the industry.
Participate in brainstorming sessions and contribute creative ideas to solve complex problems.
Support the testing and quality assurance processes for software and hardware solutions.
Assist in the documentation and maintenance of technical specifications, user manuals, and other relevant materials.
Provide technical support to internal teams and external clients as needed.
Stay up-to-date with the latest advancements in technology and share knowledge with the team.
Contribute to the overall success of the company by actively participating in team meetings and

Qualifications

Currently pursuing a degree in Computer Science, Information Technology, or a related field. Recent graduates are also welcome to apply.
Strong passion for technology and a desire to learn and grow in the industry.
Basic understanding of programming languages, software development methodologies, and hardware components.
Excellent problem-solving and analytical skills.
Ability to work independently as well as in a team environment.
Strong communication and interpersonal skills.
Proficiency in Microsoft Office Suite and other relevant software applications.
Prior experience or knowledge in specific technologies or programming languages is a plus.

Salary: $25/hr. - $30/hr.

The hourly rate is between $25.00 and $30.00per hour, and the anticipated annual base compensation range for this position will be $52,000 - $62,400 inclusive of required overtime

Note: The statements herein are intended to describe the general nature and level of work being performed by employees and are not to be construed as an exhaustive list of responsibilities, duties, and skills required of personnel so classified.

Newmark is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex including sexual orientation and gender identity, national origin, disability, protected Veteran Status, or any other characteristic protected by applicable federal, state, or local law."
information-technology,IT Intern,Veracode,"About the job
IT Summer Interns

Veracode is a global leader in Application Risk Management for the AI era. Powered by trillions of lines of code scans and a proprietary AI-generated remediation engine, the Veracode platform is trusted by organizations worldwide to build and maintain secure software from code creation to cloud deployment. Learn more at www.veracode.com, on the Veracode blog, and on LinkedIn and Twitter. 

The IT Department has 2 open Intern Roles. A Project Manager and a Boomi Workflow Assistant. This is a great opportunity for students to gain hands-on experience in IT support, system upgrades, and enterprise deployment processes, while networking with industry professionals.

Responsibilities for the Project Manager role:

Assist in planning, executing, and closing projects.
Coordinate project activities, resources, and information.
Help prepare project proposals, timeframes, schedules, and budgets.
Monitor project progress and handle any issues that arise.
Collaborate with team members to ensure project deliverables are met.
Maintain comprehensive project documentation, plans, and reports.
Communicate with stakeholders to provide updates and gather feedback.
Support the project manager in administrative tasks and other duties as assigned. 

Responsibilities for the Boomi Workflow role:

Assist in analyzing and improving operational workflows within Boomi and Boomi MDM.
Collaborate with cross-functional teams to identify inefficiencies and recommend process improvements.
Support the implementation of workflow enhancements to increase efficiency and data accuracy.
Monitor and maintain data quality within Boomi MDM, ensuring consistency and reliability.
Document workflow processes and create user guides for internal stakeholders.
Participate in regular team meetings to discuss progress, challenges, and solutions.
Provide support for ad-hoc projects and tasks as needed. 

Requirements:

Actively enrolled in an accredited college/university with an anticipated graduation date between December 2025-May 2027.
Must be able to work a 40-hour work week (Monday-Friday) between June 3rd - August 22nd.
Must be legally authorized to work in the United States for any employer without sponsorship now or in the future. 

Benefits:

Ability to develop your skills in a unique industry and gain valuable work experience.
Exposure to corporate culture.
Paid Full-Time Summer Internship.

Fraudulent Recruitment Alert - Be Aware and Stay Informed

At Veracode, we prioritize a secure recruitment process. Unfortunately, fake recruitment and job offer scams are on the rise. They aim to deceive candidates through emails and calls to obtain sensitive information.

Here’s our recruitment promise to you:

Comprehensive Interview Process: We never extend job offers without a comprehensive interview process involving our recruitment team and hiring managers.
Offer Communications: Our job offers are not sent solely through email, and we will never ask you to pay for your own hardware.
Email Verification: Recruiting emails from Veracode will always originate from an “@veracode.com"" email address.

If you have any doubts about the authenticity of an email, letter, or telephone communication claiming to be from Veracode, please reach out to us at careers@veracode.com before taking any further action."
information-technology,Director of Information Technology,"
Crye Precision LLC","About the job
The Opportunity

We’re expanding and as our business grows and our product range broadens, we’ve found it necessary to make significant investments in our organization. Similarly, we’re investing in our people and looking to hire a Director of Information Technology. The Director of Information Technology is the company’s top IT leader, responsible for overseeing and executing our IT strategy while also participating directly in the daily management and support of systems, infrastructure, and users.


This is a highly hands-on role. You’ll work alongside a lean internal IT team and manage a network of trusted outside vendors and consultants. There are no IT managers between you and the work—so you’ll need to be just as comfortable configuring systems or troubleshooting issues as you are planning long-term strategy and advising executive leadership. 

 

Job Responsibilities

Strategic & Technical Leadership

• Develop and execute the company’s IT strategy aligned with business goals.
• Act as a trusted technology advisor to the executive team.
• Manage IT budgets, vendor relationships, and contracts.


Day-to-Day Operations & Support

• Provide hands-on support for hardware, software, user accounts, networks, and devices.
• Serve as an escalation point for helpdesk and support issues.
• Manage and maintain infrastructure, cloud systems, endpoint management tools, and internal applications.
• Ensure system performance, uptime, and reliability.


Cybersecurity & Compliance

• Own and implement information security policies, procedures, and training.
• Manage disaster recovery and business continuity plans.
• Conduct regular audits and risk assessments.
• Ensure compliance with relevant standards and regulations.


People & Vendor Management

• Supervise internal IT team members and provide mentorship and direction.
• Coordinate and manage third-party consultants, and technology partners.
• Oversee IT project execution through a combination of internal work and vendor-led initiatives. 

 

 

Required Experience & Qualifications

• 8+ years of progressive IT experience, including leadership roles.
• Strong hands-on technical skills across systems, networks, endpoints, and cloud environments.
• Working knowledge of security best practices, tools, and frameworks.
• Demonstrated ability to manage and execute IT projects while balancing operational support.
• Experience managing third-party vendors, MSPs, and contractors.
• Strong communication skills and the ability to support both technical and non-technical users.
• Bachelor’s degree in Computer Science, Information Technology, or related field (Master’s or certifications a plus).



Why Join Us

• High-impact role with both strategic and tactical responsibilities.
• Ability to shape the IT future of a growing company.
• Direct visibility and influence at the executive level.
• Lean team structure with autonomy and flexibility.
• Competitive compensation and benefits package. 



The Company

Crye Precision has been designing and manufacturing apparel and equipment for America's fighting forces as well as domestic and international law enforcement groups for over 20 years. We work hard to provide smart, high-performance, long-wearing gear for people who demand the best. We design, engineer, and manufacture all of our products here in the USA and have assembled a great team of over 200 dedicated individuals at our headquarters in the historic Brooklyn Navy Yard to fulfill that mission. 



***If you wish to be considered for the role, you must apply directly via email to mmiranda@cryeprecision.com with your resume and cover letter attached. Applications without cover letters will not be considered. Please include “Director of IT” in the subject line."
information-technology,IT Support Intern,NorthMark Strategies,"About the job
The Company:

NorthMark Strategies is a multi-strategy investment advisory firm that provides strategic advice, asset management, and value-added professional services to investors, investment managers, and privately owned operating companies around the world. Our company’s mission is to integrate world class investments, operational excellence, and exceptional talent. Our values are Integrity, Ability, and Energy, and the company aims to hire individuals who possess those qualities. Our company offers a dynamic environment where individuals have the freedom to lead companies toward bold achievements by embracing innovation, leveraging technology, and fostering differentiated business strategies. We provide individuals with the opportunity to extend beyond boundaries and be in an optimal position to unlock exceptional value and drive unprecedented growth.


The Position:

The IT Support Intern will play an essential role in our IT Support team by providing end-user support (Tier 1), with occasional Tier 2 support as knowledge of the environment is learned. They will report to the IT Support Manager and work with staff at NorthMark & its group companies to ensure IT issues are solved in a timely and efficient manner. The incumbent ensures our office devices and technology are installed, configured, and maintained properly so our staff can be productive. The support environment involves regular office attendance in the New York office. This role will suit someone with a passion for customer service with a strong technical and methodical approach to any given task. Candidate will exhibit intellectual curiosity in their interest of IT with an aptitude for applying computing concepts and skills to solve real problems.


Responsibilities:

Provide Tier 1 Support 
Provide 1st and 2nd level end-user support for office devices and technology including Laptops, printers, multifunctional devices, smartphones with a focus on customer support. Candidate must truly enjoy helping others and solving problems to succeed in this role.
Physical setup of workstations, laptops, and smartphones.
Responsible for working and tracking incidents and service requests from beginning to resolution within predetermined service levels using the ticketing system.
Escalate issues (Tier 2 and 3) to the appropriate parties inside or outside the company and track resolution.
Install, configure, and provision end-user devices for onboarding, as well as secure retirement of devices and removal of company resources during offboarding.
Set-up and provide user support for our video conferencing rooms and systems.


Requirements:

Excellent team player with the ability to positively encourage and influence others.
Ability to multi-task with strong attention to detail.
Enjoy working in a fast-paced, agile environment, and resolve unplanned incidents quickly.
Outstanding communication skills, including the ability to effectively present information in both technical and non-technical terms.
Ability to maintain a professional service level when dealing with fast-paced end users and VIPs.
Desire to learn and become familiar with new areas of technology.
IT troubleshooting skills: ability to critically think and solve problems independently until escalation may be required.
Direct Microsoft 365 experience is preferred, including knowledge of Entra and Intune
Enterprise Architecture experience preferred
Experience in setting up, maintaining, and troubleshooting office devices (Laptops, smartphones, printers, etc.)
Ability to isolate problems with end user devices.
Working knowledge of Microsoft Office suite (PowerPoint, Excel, Word, Outlook)"
information-technology,"IT Director, Technical Services","
Central Peninsula Hospital","About the job
POSITION SUMMARY: The Information Technology (IT) Director of Technical Services (DTS) provides strategic leadership and oversight of technical services and infrastructure capabilities for Central Peninsula Hospital, ensuring alignment with the organization's mission, vision, values, and person-centered philosophy. The DTS is responsible for delivering robust, reliable technical services—including service desk operations, technical support, and IT operations—while optimizing reliability, usability, interoperability, and regulatory compliance of infrastructure technologies such as networks, data centers, cloud environments, and disaster recovery systems. This role prioritizes exceptional infrastructure performance, user support, day-to-day resilience, user satisfaction, and effective support of IT service delivery and infrastructure management across the healthcare organization, while also driving technical service and infrastructure innovation, planning, cybersecurity, disaster recovery preparedness, and technology modernization initiatives. Additionally, the DTS leads the development and execution of proactive and reactive infrastructure cybersecurity plans to secure digital assets, including risk management, appropriate access, threat detection, and incident response, ensuring compliance with industry standards and best practices to safeguard sensitive data and systems. By fostering professional development, cultivating a collaborative environment, and empowering stakeholders, the DTS supports high-quality patient care, operational excellence, and a culture rooted in safety, integrity, compassion, service excellence, respect, and stewardship.
REQUIREMENTS:

Bachelor's degree in Computer Science or Information Technology
A Bachelor’s degree may be substituted by demonstrated, progressively complex leadership experience in the IT field that have driven measurable results supported by relevant industry certifications and education.
A minimum of 10 years of IT experience, including at least 5 years managing people and leading complex, large-scale IT initiatives, with demonstrated expertise in planning, leading, and implementing IT operations and digital strategies aligned across diverse business environments, preferably within healthcare.
At CPH, we value our employees and offer a comprehensive benefits package designed to support your well-being and professional growth. Our competitive pay is just the beginning. We also provide:

Health Insurance: Comprehensive plans to keep you and your family healthy.
Retirement Plans: Invest in your future with our competitive 403(b) options and employer contributions.
Paid Time Off: Enjoy a generous PTO policy, including vacation and sick leave.
Professional Development: Opportunities for growth through training, workshops, and more.
Additional Perks: Employee wellness programs, discounts, and much more!
Become part of a supportive and dynamic team where your contributions matter. Apply today to make a difference with CPH!"
information-technology,IT Summer Intern,"
Riverbed Technology","About the job
Riverbed, the leader in AI observability, helps organizations optimize their user’s experiences by leveraging AI automation for the prevention, identification, and resolution of IT issues. With over 20 years of experience in data collection and AI and machine learning, Riverbed’s open and AI-powered observability platform and solutions optimize digital experiences and greatly improves IT efficiency. Riverbed also offers industry-leading Acceleration solutions that provide fast, agile, secure acceleration of any app, over any network, to users anywhere. Together with our thousands of market-leading customers globally – including 95% of the FORTUNE 100 – we are empowering next-generation digital experiences.

 Position 

Position: IT Summer Intern

Duration: full-time, 40 hrs per week

Location: Remote Optional; Office based locations in Durham, NC; Redwood Shores, CA; Champaign, IL, Reston, VA

Grade level preference: College Sophomore/Junior

Compensation: Paid

Our Business Information Technology team is conducting a project supporting the modernization of Riverbed’s Oracle ERP & Custom CPQ systems. As an intern you will provide increased project support as we move into the next phase and begin gathering requirements for Release 2.

What You Will Do

 Assist the project team in coordinating tasks, schedules, and project milestones 
 Help gather and document requirements from different departments 
 Prepare and maintain project documentation 
 Prepare and maintain project reports 
 Participate in meetings and help track project progress, risks, and deliverables 

What Makes You An Ideal Candidate

 Pursuing an Information Systems or Business Administration adjacent degree are preferred. 
 Ability to manage time effectively and prioritize tasks 
 Strong communication skills to work with different departments and gather requirements and provide feedback 
 Basic skills for documenting work 
 Familiarity with basic business tools and applications (e.g. MS Office) 

What We Offer

Our employee benefits including flexible workplace policies, learning and development resources, career progression pathways, and community engagement initiatives are some of the reasons why we have had great success in bringing in new talent. In addition, our global employee wellness programs are crafted to support the physical, emotional, and financial well-being of our employees.

About Riverbed

With a 20-year history of innovation, Riverbed is agile, yet proven, and we are disrupting the market with differentiated solutions that enable our customers to deliver secure, seamless digital experiences and accelerate enterprise performance While we are a ‘customer-first’ company, we are all about our people with a shared commitment to creating a global impact. We bring our best selves to work and pursue excellence, trust, and respect for one another. We welcome and encourage transparency and open communication throughout the company. We strive to be an inclusive, fair, and enjoyable workplace for our people globally and care about their wellbeing. We are committed to our people, partners, and customers while supporting the communities where we work and live. It’s the Power of WE that binds us together.

Riverbed is an equal employment opportunity/Affirmative Action (EEO/AA) employer and provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, gender, sexual orientation, gender identity or expression, national origin, age, physical disability (including HIV and AIDS), mental disability, medical condition, pregnancy or child birth (including breast feeding), sexual orientation, genetics, genetic information, marital status, veteran status or any other basis protected by and in accordance with applicable federal, state and local laws.

Check us out on:

www.riverbed.com

@LifeAtRiverbed"
