Resume_ID,JD_idx,JD_title,Score
36856210,0, Systems Administrator,0.0
36856210,1,Head of Digital Technology,0.0
36856210,2,Information Technology Technian,0.0
36856210,3,Information Technology Support Technian,0.0
36856210,4,Information Technology Intern,0.0
36856210,5,IT Intern,0.0
36856210,6,Director of Information Technology,0.0
36856210,7,IT Support Intern,0.0
36856210,8,"IT Director, Technical Services",0.0
36856210,9,IT Summer Intern,0.0
21780877,0, Systems Administrator,0.028
21780877,1,Head of Digital Technology,0.0
21780877,2,Information Technology Technian,0.0
21780877,3,Information Technology Support Technian,0.026
21780877,4,Information Technology Intern,0.0
21780877,5,IT Intern,0.0
21780877,6,Director of Information Technology,0.0
21780877,7,IT Support Intern,0.0
21780877,8,"IT Director, Technical Services",0.0
21780877,9,IT Summer Intern,0.0
33241454,0, Systems Administrator,0.0
33241454,1,Head of Digital Technology,0.049
33241454,2,Information Technology Technian,0.0
33241454,3,Information Technology Support Technian,0.038
33241454,4,Information Technology Intern,0.022
33241454,5,IT Intern,0.0
33241454,6,Director of Information Technology,0.075
33241454,7,IT Support Intern,0.0
33241454,8,"IT Director, Technical Services",0.0
33241454,9,IT Summer Intern,0.0
25990239,0, Systems Administrator,0.0
25990239,1,Head of Digital Technology,0.06
25990239,2,Information Technology Technian,0.0
25990239,3,Information Technology Support Technian,0.03
25990239,4,Information Technology Intern,0.027
25990239,5,IT Intern,0.0
25990239,6,Director of Information Technology,0.092
25990239,7,IT Support Intern,0.0
25990239,8,"IT Director, Technical Services",0.042
25990239,9,IT Summer Intern,0.0
16899268,0, Systems Administrator,0.0
16899268,1,Head of Digital Technology,0.068
16899268,2,Information Technology Technian,0.0
16899268,3,Information Technology Support Technian,0.012
16899268,4,Information Technology Intern,0.011
16899268,5,IT Intern,0.032
16899268,6,Director of Information Technology,0.022
16899268,7,IT Support Intern,0.0
16899268,8,"IT Director, Technical Services",0.0
16899268,9,IT Summer Intern,0.0
91635250,0, Systems Administrator,0.029
91635250,1,Head of Digital Technology,0.0
91635250,2,Information Technology Technian,0.027
91635250,3,Information Technology Support Technian,0.084
91635250,4,Information Technology Intern,0.03
91635250,5,IT Intern,0.0
91635250,6,Director of Information Technology,0.0
91635250,7,IT Support Intern,0.0
91635250,8,"IT Director, Technical Services",0.0
91635250,9,IT Summer Intern,0.0
19796840,0, Systems Administrator,0.029
19796840,1,Head of Digital Technology,0.0
19796840,2,Information Technology Technian,0.026
19796840,3,Information Technology Support Technian,0.0
19796840,4,Information Technology Intern,0.0
19796840,5,IT Intern,0.0
19796840,6,Director of Information Technology,0.0
19796840,7,IT Support Intern,0.082
19796840,8,"IT Director, Technical Services",0.0
19796840,9,IT Summer Intern,0.0
15651486,0, Systems Administrator,0.0
15651486,1,Head of Digital Technology,0.0
15651486,2,Information Technology Technian,0.0
15651486,3,Information Technology Support Technian,0.032
15651486,4,Information Technology Intern,0.0
15651486,5,IT Intern,0.0
15651486,6,Director of Information Technology,0.0
15651486,7,IT Support Intern,0.0
15651486,8,"IT Director, Technical Services",0.0
15651486,9,IT Summer Intern,0.0
52246737,0, Systems Administrator,0.072
52246737,1,Head of Digital Technology,0.033
52246737,2,Information Technology Technian,0.066
52246737,3,Information Technology Support Technian,0.016
52246737,4,Information Technology Intern,0.015
52246737,5,IT Intern,0.0
52246737,6,Director of Information Technology,0.11
52246737,7,IT Support Intern,0.0
52246737,8,"IT Director, Technical Services",0.0
52246737,9,IT Summer Intern,0.0
12045067,0, Systems Administrator,0.055
12045067,1,Head of Digital Technology,0.0
12045067,2,Information Technology Technian,0.0
12045067,3,Information Technology Support Technian,0.05
12045067,4,Information Technology Intern,0.0
12045067,5,IT Intern,0.049
12045067,6,Director of Information Technology,0.035
12045067,7,IT Support Intern,0.0
12045067,8,"IT Director, Technical Services",0.0
12045067,9,IT Summer Intern,0.048
13836471,0, Systems Administrator,0.0
13836471,1,Head of Digital Technology,0.0
13836471,2,Information Technology Technian,0.0
13836471,3,Information Technology Support Technian,0.015
13836471,4,Information Technology Intern,0.0
13836471,5,IT Intern,0.0
13836471,6,Director of Information Technology,0.0
13836471,7,IT Support Intern,0.0
13836471,8,"IT Director, Technical Services",0.0
13836471,9,IT Summer Intern,0.0
14789139,0, Systems Administrator,0.0
14789139,1,Head of Digital Technology,0.0
14789139,2,Information Technology Technian,0.034
14789139,3,Information Technology Support Technian,0.0
14789139,4,Information Technology Intern,0.0
14789139,5,IT Intern,0.185
14789139,6,Director of Information Technology,0.0
14789139,7,IT Support Intern,0.0
14789139,8,"IT Director, Technical Services",0.0
14789139,9,IT Summer Intern,0.179
36434348,0, Systems Administrator,0.0
36434348,1,Head of Digital Technology,0.054
36434348,2,Information Technology Technian,0.0
36434348,3,Information Technology Support Technian,0.0
36434348,4,Information Technology Intern,0.047
36434348,5,IT Intern,0.0
36434348,6,Director of Information Technology,0.0
36434348,7,IT Support Intern,0.158
36434348,8,"IT Director, Technical Services",0.0
36434348,9,IT Summer Intern,0.0
27536013,0, Systems Administrator,0.104
27536013,1,Head of Digital Technology,0.0
27536013,2,Information Technology Technian,0.079
27536013,3,Information Technology Support Technian,0.026
27536013,4,Information Technology Intern,0.0
27536013,5,IT Intern,0.102
27536013,6,Director of Information Technology,0.0
27536013,7,IT Support Intern,0.0
27536013,8,"IT Director, Technical Services",0.0
27536013,9,IT Summer Intern,0.098
18301617,0, Systems Administrator,0.09
18301617,1,Head of Digital Technology,0.0
18301617,2,Information Technology Technian,0.083
18301617,3,Information Technology Support Technian,0.07
18301617,4,Information Technology Intern,0.0
18301617,5,IT Intern,0.0
18301617,6,Director of Information Technology,0.0
18301617,7,IT Support Intern,0.0
18301617,8,"IT Director, Technical Services",0.0
18301617,9,IT Summer Intern,0.0
24913648,0, Systems Administrator,0.08
24913648,1,Head of Digital Technology,0.0
24913648,2,Information Technology Technian,0.115
24913648,3,Information Technology Support Technian,0.057
24913648,4,Information Technology Intern,0.0
24913648,5,IT Intern,0.0
24913648,6,Director of Information Technology,0.0
24913648,7,IT Support Intern,0.0
24913648,8,"IT Director, Technical Services",0.0
24913648,9,IT Summer Intern,0.0
26801767,0, Systems Administrator,0.0
26801767,1,Head of Digital Technology,0.145
26801767,2,Information Technology Technian,0.0
26801767,3,Information Technology Support Technian,0.032
26801767,4,Information Technology Intern,0.029
26801767,5,IT Intern,0.0
26801767,6,Director of Information Technology,0.139
26801767,7,IT Support Intern,0.0
